N,w_ratio,r_min,reliability,resolution,uncertainty,brier_from_decomp,brier_direct,n_obs
1,0.0,0.5,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.0,0.7,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.0,0.9,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.25,0.5,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.25,0.7,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.25,0.9,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.5,0.5,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.5,0.7,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.5,0.9,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,1.0,0.5,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,1.0,0.7,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,1.0,0.9,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,2.0,0.5,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,2.0,0.7,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,2.0,0.9,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,4.0,0.5,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,4.0,0.7,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,4.0,0.9,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
2,0.0,0.5,0.3464300887833554,0.05728440160642572,0.21158399999999997,0.5007296871769297,0.493484564916622,500
2,0.0,0.7,0.3464300887833554,0.05728440160642572,0.21158399999999997,0.5007296871769297,0.493484564916622,500
2,0.0,0.9,0.3464300887833554,0.05728440160642572,0.21158399999999997,0.5007296871769297,0.493484564916622,500
2,0.25,0.5,0.34756318855299617,0.05728440160642572,0.21158399999999997,0.5018627869465704,0.494617560624822,500
2,0.25,0.7,0.3522793910943424,0.05719585590515277,0.21158399999999997,0.5066675351891896,0.49936768212840194,500
2,0.25,0.9,0.3444336075234667,0.04304452791931421,0.21158399999999997,0.5129730796041525,0.503096214709676,500
2,0.5,0.5,0.34756318855299617,0.05728440160642572,0.21158399999999997,0.5018627869465704,0.494617560624822,500
2,0.5,0.7,0.36509062242736307,0.055193516696895345,0.21158399999999997,0.5214811057304677,0.5138765140382799,500
2,0.5,0.9,0.3510590730875288,0.035179516467456554,0.21158399999999997,0.5274635566200723,0.516568996353954,500
2,1.0,0.5,0.3483417485803987,0.05674098217223135,0.21158399999999997,0.5031847664081673,0.49578181068690197,500
2,1.0,0.7,0.36865385077189183,0.053071620752595694,0.21158399999999997,0.5271662300192961,0.519239716626786,500
2,1.0,0.9,0.37031834810334713,0.035274658052181364,0.20673599999999998,0.5417796900511658,0.530702801017912,500
2,2.0,0.5,0.3483417485803987,0.05674098217223135,0.21158399999999997,0.5031847664081673,0.49578181068690197,500
2,2.0,0.7,0.36865385077189183,0.053071620752595694,0.21158399999999997,0.5271662300192961,0.519239716626786,500
2,2.0,0.9,0.37031834810334713,0.035274658052181364,0.20673599999999998,0.5417796900511658,0.530702801017912,500
2,4.0,0.5,0.3483417485803987,0.05674098217223135,0.21158399999999997,0.5031847664081673,0.49578181068690197,500
2,4.0,0.7,0.36865385077189183,0.053071620752595694,0.21158399999999997,0.5271662300192961,0.519239716626786,500
2,4.0,0.9,0.37031834810334713,0.035274658052181364,0.20673599999999998,0.5417796900511658,0.530702801017912,500
4,0.0,0.5,0.31307947759585764,0.08525300299360251,0.219024,0.44685047460225513,0.441864529444642,500
