N,w_ratio,r_min,seed,mean_brier,mean_H,mean_A,mean_r,n_tasks
1,0.0,0.5,0,0.5421555874972,0.29,0.99,0.8966844,100
1,0.0,0.5,42,0.55014950494618,0.28,1.0,0.9033272800000001,100
1,0.0,0.5,123,0.56197929753744,0.27,0.99,0.9040028800000001,100
1,0.0,0.5,456,0.55214206989688,0.29,1.0,0.9075584600000001,100
1,0.0,0.5,789,0.54906092572047,0.28,1.0,0.89825165,100
1,0.0,0.7,0,0.5421555874972,0.29,0.9,0.8966844,100
1,0.0,0.7,42,0.55014950494618,0.28,0.94,0.9033272800000001,100
1,0.0,0.7,123,0.56197929753744,0.27,0.92,0.9040028800000001,100
1,0.0,0.7,456,0.55214206989688,0.29,0.93,0.9075584600000001,100
1,0.0,0.7,789,0.54906092572047,0.28,0.93,0.89825165,100
1,0.0,0.9,0,0.5421555874972,0.29,0.59,0.8966844,100
1,0.0,0.9,42,0.55014950494618,0.28,0.58,0.9033272800000001,100
1,0.0,0.9,123,0.56197929753744,0.27,0.64,0.9040028800000001,100
1,0.0,0.9,456,0.55214206989688,0.29,0.64,0.9075584600000001,100
1,0.0,0.9,789,0.54906092572047,0.28,0.61,0.89825165,100
1,0.25,0.5,0,0.5421555874972,0.29,0.99,0.8966844,100
1,0.25,0.5,42,0.55014950494618,0.28,1.0,0.9033272800000001,100
1,0.25,0.5,123,0.56197929753744,0.27,0.99,0.9040028800000001,100
1,0.25,0.5,456,0.55214206989688,0.29,1.0,0.9075584600000001,100
1,0.25,0.5,789,0.54906092572047,0.28,1.0,0.89825165,100
1,0.25,0.7,0,0.5421555874972,0.29,0.9,0.8966844,100
1,0.25,0.7,42,0.55014950494618,0.28,0.94,0.9033272800000001,100
1,0.25,0.7,123,0.56197929753744,0.27,0.92,0.9040028800000001,100
1,0.25,0.7,456,0.55214206989688,0.29,0.93,0.9075584600000001,100
1,0.25,0.7,789,0.54906092572047,0.28,0.93,0.89825165,100
1,0.25,0.9,0,0.5421555874972,0.29,0.59,0.8966844,100
1,0.25,0.9,42,0.55014950494618,0.28,0.58,0.9033272800000001,100
1,0.25,0.9,123,0.56197929753744,0.27,0.64,0.9040028800000001,100
1,0.25,0.9,456,0.55214206989688,0.29,0.64,0.9075584600000001,100
1,0.25,0.9,789,0.54906092572047,0.28,0.61,0.89825165,100
