N,w_ratio,r_min,seed,mean_inflation,mean_inflation_binding,mean_inflation_nonbinding,n_binding,n_nonbinding
1,0.0,0.5,0,0.7065656565656566,0.987857142857143,0.02758620689655173,70,29
1,0.0,0.5,42,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
1,0.0,0.5,123,0.7095,0.9880281690140846,0.02758620689655173,71,29
1,0.0,0.5,456,0.7045454545454546,0.985,0.02758620689655173,70,29
1,0.0,0.5,789,0.7060606060606062,0.9871428571428572,0.02758620689655173,70,29
1,0.0,0.7,0,0.7065656565656566,0.9795774647887325,0.01428571428571429,71,28
1,0.0,0.7,42,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
1,0.0,0.7,123,0.7095,0.9798611111111113,0.01428571428571429,72,28
1,0.0,0.7,456,0.7045454545454546,0.9767605633802818,0.01428571428571429,71,28
1,0.0,0.7,789,0.7060606060606062,0.97887323943662,0.01428571428571429,71,28
1,0.0,0.9,0,0.7065656565656566,0.956849315068493,0.0038461538461538494,73,26
1,0.0,0.9,42,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
1,0.0,0.9,123,0.7095,0.9574324324324324,0.0038461538461538494,74,26
1,0.0,0.9,456,0.7045454545454546,0.954109589041096,0.0038461538461538494,73,26
1,0.0,0.9,789,0.7060606060606062,0.956164383561644,0.0038461538461538494,73,26
1,0.25,0.5,0,0.7065656565656566,0.987857142857143,0.02758620689655173,70,29
1,0.25,0.5,42,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
1,0.25,0.5,123,0.7095,0.9880281690140846,0.02758620689655173,71,29
1,0.25,0.5,456,0.7045454545454546,0.985,0.02758620689655173,70,29
1,0.25,0.5,789,0.7060606060606062,0.9871428571428572,0.02758620689655173,70,29
1,0.25,0.7,0,0.7065656565656566,0.9795774647887325,0.01428571428571429,71,28
1,0.25,0.7,42,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
1,0.25,0.7,123,0.7095,0.9798611111111113,0.01428571428571429,72,28
1,0.25,0.7,456,0.7045454545454546,0.9767605633802818,0.01428571428571429,71,28
1,0.25,0.7,789,0.7060606060606062,0.97887323943662,0.01428571428571429,71,28
1,0.25,0.9,0,0.7065656565656566,0.956849315068493,0.0038461538461538494,73,26
1,0.25,0.9,42,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
1,0.25,0.9,123,0.7095,0.9574324324324324,0.0038461538461538494,74,26
1,0.25,0.9,456,0.7045454545454546,0.954109589041096,0.0038461538461538494,73,26
1,0.25,0.9,789,0.7060606060606062,0.956164383561644,0.0038461538461538494,73,26
1,0.5,0.5,0,0.7065656565656566,0.987857142857143,0.02758620689655173,70,29
1,0.5,0.5,42,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
1,0.5,0.5,123,0.7095,0.9880281690140846,0.02758620689655173,71,29
1,0.5,0.5,456,0.7045454545454546,0.985,0.02758620689655173,70,29
1,0.5,0.5,789,0.7060606060606062,0.9871428571428572,0.02758620689655173,70,29
1,0.5,0.7,0,0.7065656565656566,0.9795774647887325,0.01428571428571429,71,28
1,0.5,0.7,42,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
1,0.5,0.7,123,0.7095,0.9798611111111113,0.01428571428571429,72,28
1,0.5,0.7,456,0.7045454545454546,0.9767605633802818,0.01428571428571429,71,28
1,0.5,0.7,789,0.7060606060606062,0.97887323943662,0.01428571428571429,71,28
1,0.5,0.9,0,0.7065656565656566,0.956849315068493,0.0038461538461538494,73,26
1,0.5,0.9,42,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
1,0.5,0.9,123,0.7095,0.9574324324324324,0.0038461538461538494,74,26
1,0.5,0.9,456,0.7045454545454546,0.954109589041096,0.0038461538461538494,73,26
1,0.5,0.9,789,0.7060606060606062,0.956164383561644,0.0038461538461538494,73,26
1,1.0,0.5,0,0.7065656565656566,0.987857142857143,0.02758620689655173,70,29
1,1.0,0.5,42,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
1,1.0,0.5,123,0.7095,0.9880281690140846,0.02758620689655173,71,29
1,1.0,0.5,456,0.7045454545454546,0.985,0.02758620689655173,70,29
1,1.0,0.5,789,0.7060606060606062,0.9871428571428572,0.02758620689655173,70,29
1,1.0,0.7,0,0.7065656565656566,0.9795774647887325,0.01428571428571429,71,28
1,1.0,0.7,42,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
1,1.0,0.7,123,0.7095,0.9798611111111113,0.01428571428571429,72,28
1,1.0,0.7,456,0.7045454545454546,0.9767605633802818,0.01428571428571429,71,28
1,1.0,0.7,789,0.7060606060606062,0.97887323943662,0.01428571428571429,71,28
1,1.0,0.9,0,0.7065656565656566,0.956849315068493,0.0038461538461538494,73,26
1,1.0,0.9,42,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
1,1.0,0.9,123,0.7095,0.9574324324324324,0.0038461538461538494,74,26
1,1.0,0.9,456,0.7045454545454546,0.954109589041096,0.0038461538461538494,73,26
1,1.0,0.9,789,0.7060606060606062,0.956164383561644,0.0038461538461538494,73,26
1,2.0,0.5,0,0.7065656565656566,0.987857142857143,0.02758620689655173,70,29
1,2.0,0.5,42,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
1,2.0,0.5,123,0.7095,0.9880281690140846,0.02758620689655173,71,29
1,2.0,0.5,456,0.7045454545454546,0.985,0.02758620689655173,70,29
