N,w_ratio,r_min,seed,mean_brier,mean_H,mean_A,mean_r,n_tasks
1,0.0,0.5,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,0.0,0.5,42,0.7361,0.26,1.0,0.998,100
1,0.0,0.5,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,0.0,0.5,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,0.0,0.5,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,0.0,0.7,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,0.0,0.7,42,0.7361,0.26,1.0,0.998,100
1,0.0,0.7,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,0.0,0.7,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,0.0,0.7,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,0.0,0.9,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,0.0,0.9,42,0.7361,0.26,1.0,0.998,100
1,0.0,0.9,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,0.0,0.9,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,0.0,0.9,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,0.25,0.5,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,0.25,0.5,42,0.7361,0.26,1.0,0.998,100
1,0.25,0.5,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,0.25,0.5,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,0.25,0.5,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,0.25,0.7,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,0.25,0.7,42,0.7361,0.26,1.0,0.998,100
1,0.25,0.7,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,0.25,0.7,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,0.25,0.7,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,0.25,0.9,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,0.25,0.9,42,0.7361,0.26,1.0,0.998,100
1,0.25,0.9,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,0.25,0.9,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,0.25,0.9,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,0.5,0.5,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,0.5,0.5,42,0.7361,0.26,1.0,0.998,100
1,0.5,0.5,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,0.5,0.5,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,0.5,0.5,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,0.5,0.7,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,0.5,0.7,42,0.7361,0.26,1.0,0.998,100
1,0.5,0.7,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,0.5,0.7,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,0.5,0.7,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,0.5,0.9,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,0.5,0.9,42,0.7361,0.26,1.0,0.998,100
1,0.5,0.9,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,0.5,0.9,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,0.5,0.9,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,1.0,0.5,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,1.0,0.5,42,0.7361,0.26,1.0,0.998,100
1,1.0,0.5,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,1.0,0.5,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,1.0,0.5,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,1.0,0.7,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,1.0,0.7,42,0.7361,0.26,1.0,0.998,100
1,1.0,0.7,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,1.0,0.7,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,1.0,0.7,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,1.0,0.9,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,1.0,0.9,42,0.7361,0.26,1.0,0.998,100
1,1.0,0.9,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,1.0,0.9,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,1.0,0.9,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,2.0,0.5,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,2.0,0.5,42,0.7361,0.26,1.0,0.998,100
1,2.0,0.5,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,2.0,0.5,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,2.0,0.5,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,2.0,0.7,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,2.0,0.7,42,0.7361,0.26,1.0,0.998,100
1,2.0,0.7,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,2.0,0.7,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,2.0,0.7,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,2.0,0.9,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,2.0,0.9,42,0.7361,0.26,1.0,0.998,100
1,2.0,0.9,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,2.0,0.9,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,2.0,0.9,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,4.0,0.5,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,4.0,0.5,42,0.7361,0.26,1.0,0.998,100
1,4.0,0.5,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,4.0,0.5,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,4.0,0.5,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,4.0,0.7,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,4.0,0.7,42,0.7361,0.26,1.0,0.998,100
1,4.0,0.7,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,4.0,0.7,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,4.0,0.7,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
1,4.0,0.9,0,0.6950252525252526,0.30303030303030304,1.0,0.9984848484848484,100
1,4.0,0.9,42,0.7361,0.26,1.0,0.998,100
1,4.0,0.9,123,0.7170749999999999,0.28,1.0,0.9984999999999999,100
1,4.0,0.9,456,0.7405808080808081,0.25252525252525254,1.0,0.9964646464646465,100
1,4.0,0.9,789,0.7031313131313132,0.29292929292929293,1.0,0.997979797979798,100
2,0.0,0.5,0,0.653175,0.34,1.0,0.9965,100
2,0.0,0.5,42,0.7141500000000001,0.28,1.0,0.997,100
2,0.0,0.5,123,0.6970999999999999,0.3,1.0,0.998,100
2,0.0,0.5,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,0.0,0.5,789,0.6870999999999999,0.31,1.0,0.998,100
2,0.0,0.7,0,0.653175,0.34,1.0,0.9965,100
2,0.0,0.7,42,0.7141500000000001,0.28,1.0,0.997,100
2,0.0,0.7,123,0.6970999999999999,0.3,1.0,0.998,100
2,0.0,0.7,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,0.0,0.7,789,0.6870999999999999,0.31,1.0,0.998,100
2,0.0,0.9,0,0.653175,0.34,1.0,0.9965,100
2,0.0,0.9,42,0.7141500000000001,0.28,1.0,0.997,100
2,0.0,0.9,123,0.6970999999999999,0.3,1.0,0.998,100
2,0.0,0.9,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,0.0,0.9,789,0.6870999999999999,0.31,1.0,0.998,100
2,0.25,0.5,0,0.653175,0.34,1.0,0.9965,100
2,0.25,0.5,42,0.7141500000000001,0.28,1.0,0.997,100
2,0.25,0.5,123,0.6970999999999999,0.3,1.0,0.998,100
2,0.25,0.5,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,0.25,0.5,789,0.6870999999999999,0.31,1.0,0.998,100
2,0.25,0.7,0,0.653175,0.34,1.0,0.9965,100
2,0.25,0.7,42,0.7141500000000001,0.28,1.0,0.997,100
2,0.25,0.7,123,0.6970999999999999,0.3,1.0,0.998,100
2,0.25,0.7,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,0.25,0.7,789,0.6870999999999999,0.31,1.0,0.998,100
2,0.25,0.9,0,0.653175,0.34,1.0,0.9965,100
2,0.25,0.9,42,0.7141500000000001,0.28,1.0,0.997,100
2,0.25,0.9,123,0.6970999999999999,0.3,1.0,0.998,100
2,0.25,0.9,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,0.25,0.9,789,0.6870999999999999,0.31,1.0,0.998,100
2,0.5,0.5,0,0.653175,0.34,1.0,0.9965,100
2,0.5,0.5,42,0.7141500000000001,0.28,1.0,0.997,100
2,0.5,0.5,123,0.6970999999999999,0.3,1.0,0.998,100
2,0.5,0.5,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,0.5,0.5,789,0.6870999999999999,0.31,1.0,0.998,100
2,0.5,0.7,0,0.653175,0.34,1.0,0.9965,100
2,0.5,0.7,42,0.7141500000000001,0.28,1.0,0.997,100
2,0.5,0.7,123,0.6970999999999999,0.3,1.0,0.998,100
2,0.5,0.7,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
2,0.5,0.7,789,0.6870999999999999,0.31,1.0,0.998,100
2,0.5,0.9,0,0.653175,0.34,1.0,0.9965,100
2,0.5,0.9,42,0.7141500000000001,0.28,1.0,0.997,100
2,0.5,0.9,123,0.6970999999999999,0.3,1.0,0.998,100
2,0.5,0.9,456,0.6991919191919191,0.29292929292929293,1.0,0.9959595959595959,100
