N,w_ratio,cohens_d,mean_diff,ci_lo,ci_hi,n_tasks
2,0.0,-0.7165078229247651,-0.05761291220301199,-0.07377378780842103,-0.04264327234010855,100
4,0.0,-0.9903427607351523,-0.109232947674992,-0.1311737988763243,-0.08800438742810268,100
8,0.0,-1.1369362016864715,-0.156422165221378,-0.18415222841535603,-0.13063130446083168,100
16,0.0,-1.1915391100605088,-0.220740033447466,-0.25790962210173984,-0.18596730825607308,100
32,0.0,-1.307735425422666,-0.27714802239484604,-0.3187101004803737,-0.23712774311183168,100
2,0.25,-0.6575182426484519,-0.052070324632000654,-0.06808469597275445,-0.037354019131818586,100
4,0.25,-0.9019584961919858,-0.09754206420724135,-0.11910794306770178,-0.07683848875140799,100
8,0.25,-1.0402331373574456,-0.140428847864654,-0.16770597919076133,-0.1152605729664505,100
16,0.25,-1.110911913109736,-0.20328872883697463,-0.24007599736279736,-0.16889641116146473,100
32,0.25,-1.2365585715244964,-0.25851739248260003,-0.2995993529432814,-0.21897183909943438,100
2,0.5,-0.5664890288956594,-0.042743120113948666,-0.05824118742742998,-0.02894464682034759,100
4,0.5,-0.8117969027249623,-0.08189050021475934,-0.10226446600845805,-0.06298458232573552,100
8,0.5,-0.8964021044978221,-0.11502373812607866,-0.14157835865517632,-0.09117389546810989,100
16,0.5,-0.9545674972003609,-0.1668111890186907,-0.2023066353976762,-0.13424989321178118,100
32,0.5,-1.0599261115927592,-0.21232320936401003,-0.2520991329351626,-0.1746157487565565,100
2,1.0,-0.638933229042744,-0.035856034342434,-0.047241783492660845,-0.025277700779978898,100
4,1.0,-0.8705676608553938,-0.07047955586701668,-0.08647731151024762,-0.055085723143430645,100
8,1.0,-0.9320444850512802,-0.09740636908570333,-0.1186440645980434,-0.07816668105074523,100
16,1.0,-0.9205848898255083,-0.1371930027755827,-0.1666324863030964,-0.11009910224745517,100
32,1.0,-0.9972240841671244,-0.16437897079024533,-0.19708122253113214,-0.1342604777376207,100
2,2.0,-0.638933229042744,-0.035856034342434,-0.047241783492660845,-0.025277700779978898,100
4,2.0,-0.8705676608553938,-0.07047955586701668,-0.08647731151024762,-0.055085723143430645,100
8,2.0,-0.9320444850512802,-0.09740636908570333,-0.1186440645980434,-0.07816668105074523,100
16,2.0,-0.9205848898255083,-0.1371930027755827,-0.1666324863030964,-0.11009910224745517,100
32,2.0,-0.9972240841671244,-0.16437897079024533,-0.19708122253113214,-0.1342604777376207,100
2,4.0,-0.638933229042744,-0.035856034342434,-0.047241783492660845,-0.025277700779978898,100
4,4.0,-0.8705676608553938,-0.07047955586701668,-0.08647731151024762,-0.055085723143430645,100
8,4.0,-0.9320444850512802,-0.09740636908570333,-0.1186440645980434,-0.07816668105074523,100
16,4.0,-0.9205848898255083,-0.1371930027755827,-0.1666324863030964,-0.11009910224745517,100
32,4.0,-0.9972240841671244,-0.16437897079024533,-0.19708122253113214,-0.1342604777376207,100
